0.9000,あ,あ
0.9000,い,い
0.9000,う,う
0.9000,え,え
0.9000,お,お
0.9000,か,か
0.9000,き,き
0.9000,く,く
0.9000,け,け
0.9000,こ,こ
0.9000,さ,さ
0.9000,し,し
0.9000,す,す
0.9000,せ,せ
0.9000,そ,そ
0.9000,た,た
0.9000,ち,ち
0.9000,つ,つ
0.9000,て,て
0.9000,と,と
0.9000,な,な
0.9000,に,に
0.9000,ぬ,ぬ
0.9000,ね,ね
0.9000,の,の
0.9000,は,は
0.9000,ひ,ひ
0.9000,ふ,ふ
0.9000,へ,へ
0.9000,ほ,ほ
0.9000,ま,ま
0.9000,み,み
0.9000,む,む
0.9000,め,め
0.9000,も,も
0.9000,や,や
0.9000,ゆ,ゆ
0.9000,よ,よ
0.9000,ら,ら
0.9000,り,り
0.9000,る,る
0.9000,れ,れ
0.9000,ろ,ろ
0.9000,わ,わ
0.9000,を,を
0.9000,ん,ん
0.9000,っ,っ
0.9000,ー,ー
0.9000,が,が
0.9000,ぎ,ぎ
0.9000,ぐ,ぐ
0.9000,げ,げ
0.9000,ご,ご
0.9000,ざ,ざ
0.9000,じ,じ
0.9000,ず,ず
0.9000,ぜ,ぜ
0.9000,ぞ,ぞ
0.9000,だ,だ
0.9000,ぢ,ぢ
0.9000,づ,づ
0.9000,で,で
0.9000,ど,ど
0.9000,ば,ば
0.9000,び,び
0.9000,ぶ,ぶ
0.9000,べ,べ
0.9000,ぼ,ぼ
0.9000,ぱ,ぱ
0.9000,ぴ,ぴ
0.9000,ぷ,ぷ
0.9000,ぺ,ぺ
0.9000,ぽ,ぽ
0.9000,ぁ,ぁ
0.9000,ぃ,ぃ
0.9000,ぅ,ぅ
0.9000,ぇ,ぇ
0.9000,ぉ,ぉ
1.0000,。,。
1.0000,、,、
1.0000,私,わたし
1.0000,の,の
1.0000,名前,なまえ
1.0000,は,は
1.0000,中野,なかの
1.0000,です,です
2.0000,私の,わたしの
2.0000,名前は,なまえは
